title,description,requirements,required_education,location
985,4796,496,4,452
3344,1143,9334,1,1564
6130,5171,1002,13,1928
6195,14204,1995,13,2535
3205,7918,9893,1,2038
3341,10163,7601,4,1688
9391,13306,3939,13,227
3205,7918,9893,1,136
3205,7918,9893,1,1658
2210,9885,5385,4,1724
6005,12914,6909,1,2482
3930,11111,6052,13,813
7181,1584,11916,9,1799
7298,2117,6975,7,1858
2199,9915,6904,4,2853
2204,9882,5346,4,2360
6259,12228,3732,9,375
8941,1368,689,13,658
3205,7918,9893,1,2468
8774,2316,1021,1,372
3204,7918,9893,1,2314
2199,9916,6905,4,2853
4330,7856,11968,13,210
2286,10094,6153,4,2535
2198,9986,5404,4,2535
3205,7916,9893,1,2734
2199,10001,5391,4,1526
846,9187,8440,13,905
3206,7912,9907,1,2874
3626,10670,11968,13,3105
134,14410,2474,9,813
2199,9916,6905,4,2853
1303,347,11968,13,2734
10512,10586,2919,1,813
293,9590,3166,1,2734
10921,5347,11697,9,1383
3205,7918,9893,1,2270
2743,2907,8303,1,2535
9047,9298,641,1,367
7511,8013,7447,4,2058
2247,9195,5226,4,2420
1567,3873,11968,13,2969
3205,7918,9893,1,1351
2339,3966,5592,13,1249
3968,4036,4469,13,1679
3515,11872,1026,4,3057
10660,650,3882,1,2160
314,2258,3572,13,38
2206,12236,7263,4,1696
6037,3542,1905,1,259
8564,7935,7469,1,367
3431,14791,11940,5,813
3265,4711,11968,4,2094
6087,599,8781,1,813
2275,12279,7205,4,2799
6216,13307,3846,13,227
10017,10792,3018,10,487
7986,12993,1788,13,43
10275,9685,4651,2,1248
6464,12229,3698,13,1298
2210,9990,5361,4,2535
3205,7917,9893,1,2974
10582,3169,4396,4,2925
2873,10124,4277,1,1899
4983,14272,6303,1,625
8434,8998,8203,13,1148
3204,7918,9893,1,1507
3461,8967,3120,13,2875
5885,8993,2029,1,1300
4169,13550,5762,13,625
7850,12228,8219,13,701
7866,14643,7223,4,1487
6182,1956,10817,7,1249
3205,7918,9893,1,2613
3205,7918,9893,1,1362
3265,4711,11968,4,1366
10193,10786,8196,13,1249
5902,2639,2203,1,1693
8568,9009,2571,13,836
6058,14769,11968,13,296
9069,5519,3841,1,793
3205,7918,9893,1,2507
9613,5654,5223,1,948
5354,2313,395,1,650
6827,2007,9786,13,1941
6160,10989,5212,13,1083
5128,13198,11339,1,60
3204,7918,9893,1,2644
3714,9369,11968,1,1249
5390,14005,8461,13,3105
7820,10450,1758,1,1579
865,3667,11949,9,296
2437,12238,7260,4,2012
3204,7918,9893,1,1750
2199,10041,5404,4,2133
2209,9956,7731,4,1754
3162,10749,7040,1,88
2200,9953,5431,4,1972
2199,9925,5390,4,109
7910,14762,11968,13,1471
4609,5280,11678,4,1414
3205,7918,9893,1,2288
4287,464,1486,13,625
5419,13333,11968,9,38
2038,8851,479,5,1202
9287,14640,7231,4,2535
2387,4833,496,4,496
5527,7928,11968,13,238
3205,7918,9893,1,1472
2282,10097,7243,4,2670
9309,6689,8698,1,625
3205,7918,9893,1,1437
10314,10959,2665,9,593
1020,14158,5461,4,2051
9292,5990,7619,2,2809
2199,9918,5404,4,1248
3205,7918,9893,1,1894
1074,4794,496,4,579
10985,13143,10608,1,625
7286,11244,10469,13,3105
10810,11102,4193,4,383
9321,8125,8922,1,1707
3205,7918,9893,1,1379
6405,648,579,9,1193
7517,4256,9815,13,2270
2199,10013,6239,4,2895
5118,3327,1281,1,625
683,80,10094,9,719
3207,7908,9895,1,3085
8921,5866,11968,13,1940
5354,2314,395,1,539
3205,7918,9893,1,1473
4293,10199,1831,1,539
4325,10434,1282,1,625
4639,2181,4929,13,296
4408,7418,9379,13,1083
9035,13236,11379,1,625
3618,307,11968,13,2044
4080,7908,9902,1,2749
1303,346,11968,13,1899
8109,1876,1193,1,539
1922,6982,4135,13,2535
42,807,11968,9,1787
2981,10139,6783,4,2971
7469,9218,781,9,1650
1523,4845,496,4,526
2446,1822,5624,4,1677
8974,545,5053,9,2535
10808,11158,496,4,356
9043,11399,11968,13,2327
6616,898,6199,13,2535
737,14754,11968,13,1621
2199,9986,5392,4,2535
3779,12622,4027,13,772
3205,7918,9893,1,2414
8669,3277,11968,13,1472
5229,6116,11968,13,2875
7949,426,11968,13,2160
3205,7918,9893,1,1912
1494,13303,4263,13,227
9577,5320,1120,5,202
273,9572,3129,1,1423
796,13510,11515,13,1083
4080,7908,9902,1,1785
328,8920,10369,1,2535
3205,7918,9893,1,2271
2894,3843,2120,1,2834
3870,1667,1790,13,2687
311,9575,3130,1,1423
3205,7918,9893,1,2719
5244,9569,3128,9,1423
5917,4779,496,4,650
7395,2822,7165,1,2736
6827,2009,1719,13,2253
4959,127,11244,1,1703
2463,3276,6898,13,1249
3552,9143,1178,1,2535
3204,7918,9893,1,1358
1900,11277,6320,13,2462
10207,14461,688,1,625
2688,9857,2845,1,519
931,13310,3938,13,227
6288,10284,2000,1,2834
8524,5628,243,9,2883
2210,14591,5377,4,2619
7865,11422,9216,13,2974
3152,2706,4544,9,216
75,5172,11862,9,2875
3096,8775,2193,1,2665
5717,10241,6178,4,1526
3205,7918,9893,1,2163
2275,12273,7237,4,2535
7430,12033,536,13,222
127,7175,11968,13,872
3205,7918,9893,1,2882
7505,3337,11968,13,296
2210,9900,6493,4,1899
8481,7355,11968,13,872
3205,7918,9893,1,2611
5041,8838,926,1,260
7598,7750,2407,1,1820
4359,10149,3622,13,908
310,8429,10633,1,765
4717,12130,3654,1,37
3184,5348,11968,1,813
840,905,1403,13,625
3991,12315,671,9,2775
7776,2937,11968,1,1487
7074,6325,629,1,2967
9897,9429,6503,1,1487
4356,4488,1211,13,3105
3205,7918,9893,1,1855
8895,5520,5193,1,793
3205,7918,9893,1,2260
2751,2856,7162,1,2736
4080,7908,9901,1,2611
645,9483,6873,13,1249
10459,7183,51,13,1249
8811,4736,4550,1,1233
4636,7447,11968,13,2528
7452,3275,6875,13,1472
8551,7239,5946,4,67
2199,10008,7747,4,1383
4081,7910,9901,1,1365
7323,9482,6874,13,2469
335,11238,8407,13,487
3923,10151,11968,13,2051
3476,13638,9563,1,2822
7762,3559,3257,1,844
4080,7908,9901,1,2736
5465,45,147,9,1193
8090,1035,6146,13,133
3205,7918,9893,1,2171
1792,11565,1642,13,212
3138,9484,6872,13,3105
4031,10924,8500,13,1764
2733,2377,11171,13,38
8082,10835,5218,1,813
9498,1165,11968,13,891
7213,9377,11968,1,1249
10140,5941,6880,1,2244
2275,12276,7205,4,1686
3580,5362,11502,13,1956
9279,10522,5407,4,2535
7022,7138,3355,13,166
3682,9229,7312,13,1703
5418,2203,3603,1,487
945,6939,2552,1,2753
2835,3861,3936,1,1217
4946,13630,2334,13,367
3205,7918,9893,1,2313
8416,2776,5818,0,1899
9667,4769,506,4,402
5267,6127,11968,1,1248
7576,8810,2244,1,1658
741,5934,6882,13,1409
6031,893,3653,1,1967
164,4876,10023,5,1512
1739,4705,6149,13,2866
1875,5877,11968,4,2213
2282,10099,6153,4,2535
2452,10803,7394,1,2535
4089,10187,2251,1,2834
10947,2622,5246,1,2676
869,6493,11968,13,296
3434,10167,7431,1,2535
5349,1274,8242,13,125
960,5361,8360,13,2535
1488,10949,2452,13,2535
7952,380,11968,13,1899
4662,5295,10563,9,1560
3205,7918,9893,1,2603
7767,13606,3801,9,2535
3891,6091,5164,13,51
4445,5808,3083,1,949
2103,6257,11223,5,213
2198,9974,5358,4,174
6883,3321,7180,13,1248
7870,10022,7530,4,3005
2883,6911,10500,1,2094
10039,7011,2426,13,3007
4686,8925,10159,13,1002
10490,6233,10698,13,1899
10664,10595,2226,13,2734
9115,2036,3822,1,980
1539,7572,9219,13,225
7092,13596,4307,1,1424
4844,1886,1698,13,2358
8380,4561,10848,9,813
3206,7914,9906,1,1970
2506,6095,1115,1,1511
6983,1416,204,1,3105
3737,2791,889,13,1564
2275,10091,7238,4,2535
7361,7683,11106,1,625
10061,11861,2015,1,813
686,7926,11968,13,3105
5706,11712,5283,13,166
821,4762,496,4,452
7328,14636,5507,4,2382
4081,7907,9901,1,2656
6529,13274,11364,1,625
6923,2801,5071,1,2529
2282,10878,6807,4,2427
2783,4497,5657,13,2535
7870,14615,7530,4,3005
3205,7917,9893,1,2462
8895,1105,11296,13,1051
536,1736,1687,13,2819
7411,3543,10031,13,947
3317,1831,1693,13,1916
4189,9681,8330,1,1674
5925,4764,4197,4,650
6472,3355,10928,13,625
371,6464,5304,1,2462
9721,13665,1893,1,2734
10203,8870,5960,13,650
588,11560,10321,13,625
8627,2998,11906,13,1686
9803,3536,5111,13,1772
11147,14425,4108,13,2070
3205,7917,9893,1,1564
3205,7917,9893,1,1539
10311,2491,2624,9,2079
8457,1275,10968,1,125
8141,12539,3494,13,747
348,1375,9961,4,2775
7340,13293,9792,1,2320
2234,7503,3304,13,225
3205,7917,9893,1,1703
2210,14620,5351,4,1688
10262,6287,5305,4,2462
2275,12255,7226,4,2304
8631,11787,3792,13,1806
6593,6271,11968,13,16
635,7734,8848,1,1536
9461,2608,11968,9,2925
6057,14491,10018,13,813
9145,10514,3399,1,2822
2208,9898,6155,4,2304
2210,9984,5383,4,2535
2192,13132,8709,1,222
1835,3363,10925,13,545
8397,1847,9832,13,21
8470,6865,8763,13,1153
6243,3771,11919,5,2475
10480,9852,417,1,1558
3205,7917,9893,1,1573
3527,9428,11968,1,367
4033,2605,1730,13,988
4932,6491,11968,13,296
2210,10078,6795,4,3055
8780,13858,7434,13,558
5412,2826,11968,1,1650
10611,8877,1810,13,293
2282,14632,6153,4,1487
4006,5893,11968,13,2959
310,12616,11657,0,2618
3204,7918,9893,1,1564
2537,12400,6942,13,1905
753,3358,6436,13,600
3105,3313,11968,13,2544
2282,10880,6774,4,1688
5099,11967,51,9,2847
2199,9968,5356,4,3040
9221,2371,8658,1,1564
4417,3751,9943,5,2475
5561,7507,870,1,216
8897,4492,5884,13,3105
3420,5357,7951,13,3105
3735,3977,7461,1,1083
1917,12355,1941,1,870
2209,10071,5404,4,1946
9772,9375,4722,13,2913
836,11658,506,4,398
2258,13946,2876,4,2641
10987,6856,1811,2,804
3168,20,15,1,3083
437,628,5722,4,1487
5842,367,11968,13,2231
2209,10071,5404,4,1946
2199,10073,5404,4,1703
550,11780,6747,1,85
9285,10523,7280,1,1656
8780,13857,11968,13,558
3821,3527,11968,10,3105
6842,2007,9786,13,2178
2670,3597,11968,1,1248
3204,7918,9893,1,1539
3566,906,1410,6,625
4100,10687,2733,7,2139
735,2087,11968,4,1714
2208,14609,5404,4,2358
3204,7918,9893,1,1573
2199,14584,6161,4,2044
3556,6933,5969,13,2973
4837,5328,1698,13,2242
3205,7918,9893,1,2928
7941,5681,8642,3,1249
9331,12227,11968,13,712
10762,2821,7163,0,2736
1042,3718,895,13,600
10988,10458,9976,13,307
2398,6420,11968,13,1383
7849,12229,3732,9,390
7419,1499,7864,1,1083
4080,7908,9902,1,1358
9495,5088,10184,13,1564
7987,7930,11968,13,3105
8956,11500,10493,13,252
9797,7901,6091,1,3105
10831,4829,506,4,757
8785,7360,9106,1,1225
7866,10412,7224,1,2809
5346,1357,1523,4,2924
10571,3533,6286,1,625
5582,8334,11968,13,210
4876,6259,11226,5,213
7066,2271,8078,13,2450
3205,7918,9893,1,2636
6595,6653,11968,13,210
7030,1788,2555,9,1443
10281,1451,11968,13,2595
3681,6134,7450,13,1759
10908,11377,11968,13,1724
513,3596,11968,1,1248
9340,8049,3414,13,2999
5455,14711,321,1,813
3711,4584,11968,4,1714
3521,7509,1590,9,2781
4081,7920,9901,1,3070
2517,13146,7200,4,3005
9538,14362,10120,13,2957
10712,3293,9258,1,2535
7561,14693,11785,13,862
604,626,1238,1,908
3205,7918,9893,1,2986
2248,10058,7727,4,2912
6267,2702,11968,13,3105
5867,6666,4607,1,1923
4081,7920,9901,1,1590
695,9131,3497,4,1101
3150,5073,11968,9,296
1627,1701,11968,13,9
5455,7386,2806,1,1225
7582,14312,6469,1,3100
2208,9905,5364,4,1899
7501,1270,11968,13,2482
7414,18,5006,13,776
11091,124,11968,13,1249
2199,10010,5372,4,1383
10893,2785,1434,1,1560
10235,10904,6842,4,2834
3204,7918,9893,1,1759
3205,7918,9893,1,2546
3024,12361,6181,4,1497
2418,12749,10194,9,2535
7031,4667,6541,9,1927
8871,9094,8452,1,1573
5567,682,2864,13,367
4081,7920,9901,1,2233
3205,7918,9893,1,2226
1364,14154,8796,4,2564
5454,6184,11968,1,985
6379,818,4105,13,2535
2199,14597,5404,4,1972
6332,3774,9220,9,2809
2210,10062,5404,4,166
11186,9516,540,13,2535
7784,1471,11968,13,1715
1680,4702,6076,1,362
2195,8608,4086,13,2834
3205,7918,9893,1,2547
766,4994,5844,9,2044
2366,3286,4773,9,1383
9806,3013,5570,13,1449
1615,12248,11968,13,2190
3205,7918,9893,1,1372
3205,7917,9893,1,2813
8474,10650,11285,13,216
10499,11563,5992,13,625
3205,7917,9893,1,1759
1396,3892,8199,9,430
2210,9941,5430,4,2875
9531,8712,7297,13,1564
6576,1327,9922,13,2649
2199,10019,5404,4,2763
2198,10037,7222,4,180
5562,3105,6609,13,2875
2274,10090,6779,4,2934
3519,13766,11968,13,1667
2875,3645,7758,1,1579
310,12530,5314,13,1564
2821,3620,8653,5,1249
1406,2794,11968,13,543
1844,1100,3313,1,2020
10796,4840,496,4,366
6982,5109,171,4,2539
9147,2614,11135,13,1564
3317,1831,1693,13,3035
10316,29,3788,13,745
2199,9977,5404,4,2818
10792,4781,496,4,753
8357,12081,11968,4,625
6855,2007,9786,13,3058
7952,377,11968,13,2611
10227,8730,9974,9,1249
3205,7918,9893,1,2368
2282,10872,6805,4,2799
749,11300,7903,13,2974
3265,4711,11968,4,2325
3906,13694,3554,1,67
6894,4676,5996,1,813
10535,8399,4834,2,1412
5564,7739,8844,1,1536
3638,4559,11968,13,888
3056,14307,1251,1,296
9193,8566,844,1,2118
4406,789,11122,4,1019
10075,1773,6888,1,2030
420,5031,2213,1,873
10351,9325,1217,4,2882
2421,2752,3046,1,1019
9752,3157,5857,13,1560
11159,6746,11968,1,1787
633,197,11968,13,2270
7485,3724,11155,1,704
11173,2028,11921,13,636
8457,260,11968,13,1487
1744,2386,11968,13,1937
8695,9085,8169,1,253
2710,10114,3479,1,444
2625,10664,5984,13,1418
7125,9657,2297,1,772
3205,7917,9893,1,3037
7185,1584,11916,9,2595
7042,2277,3735,10,368
4081,7907,9901,1,1712
2282,10095,7255,4,2535
7256,10364,2998,13,1305
1434,5197,11968,13,2196
3072,11000,3041,13,296
6830,2008,1718,13,2345
6920,4791,496,4,330
9119,13238,11402,1,290
9939,6837,11968,1,2742
2875,3645,7758,1,1579
8842,9363,11968,13,51
1269,1826,1688,13,2168
2851,5254,11531,2,2834
2281,10866,6801,4,2535
8310,2834,10183,1,2383
933,6510,11968,13,338
6854,2008,1718,13,1949
296,9590,3153,1,2904
912,2385,11968,13,3037
3205,7918,9893,1,2534
7596,10909,11968,13,1980
2033,7602,9889,13,813
2199,14641,5404,4,2270
432,1367,9292,13,558
7414,10374,7651,1,1688
8,8867,7303,13,2549
10313,11594,3774,9,2013
2203,9907,5404,4,2612
3789,13328,11968,13,296
10921,9348,3649,1,2259
595,5371,11968,13,1564
7953,7560,9648,13,315
5219,12603,8749,1,1564
2202,9997,5403,4,1828
3154,14717,11769,13,822
7063,9322,11968,13,625
1886,9393,11968,1,1564
3205,7918,9893,1,2309
1922,4971,2875,1,1472
11180,4053,8370,1,1899
3205,7918,9893,1,2031
10968,12557,742,13,216
10017,13007,7451,1,625
553,11725,8226,13,298
3205,7918,9893,1,1680
3205,7918,9893,1,2812
4839,1886,1698,13,1882
10068,5266,3762,9,372
11109,12483,8786,13,213
3205,7918,9893,1,2729
3205,7918,9893,1,2401
5130,13197,11343,1,60
3318,4214,987,13,2847
7160,1629,4279,4,2677
3205,7918,9893,1,2245
837,2039,140,4,2862
2209,9904,5426,4,1899
4194,10804,7084,1,2672
2857,9065,4883,5,2687
7395,6870,10211,9,1249
3204,7918,9893,1,1457
5167,9015,11968,9,209
8711,3603,8183,13,1249
5944,9147,1105,1,1056
6735,9664,8765,1,1026
10550,914,1401,13,625
2887,2983,2256,1,1693
9698,9557,3157,1,1496
10289,10579,3900,1,2246
3556,4908,700,9,2268
7349,286,11968,13,2611
4328,10287,5924,1,1592
163,7108,11968,13,2698
2880,10125,5195,13,296
294,9590,3153,1,1536
6835,2007,9786,13,3032
6703,10317,675,1,2539
4393,8378,3308,13,1435
8630,5117,11968,13,1077
1869,2992,11968,13,1929
2199,9917,5410,4,1650
2045,4610,6376,4,1347
6653,7187,11968,4,1603
2209,10028,5404,4,2934
1268,1826,1688,13,1904
2282,11200,7299,4,1383
4568,12973,2143,1,1854
3205,7918,9893,1,2868
4379,5051,3090,1,1412
8863,936,3463,1,610
3205,7918,9893,1,2846
9500,12834,4275,13,1564
3332,3455,11968,9,2539
11112,7827,5603,0,2168
9287,10529,6820,4,2304
3205,7918,9893,1,2832
6266,14528,496,4,376
271,2946,11968,1,3105
7746,6222,11968,13,2967
3583,3622,7470,13,2044
4517,8260,5155,9,430
2407,12397,3450,9,625
746,4127,739,9,2044
3205,7918,9893,1,2602
7260,9320,11145,1,625
403,8886,9254,1,891
2972,8060,3419,13,1383
2741,3852,8814,9,636
2533,10111,3327,1,1423
4931,13414,7388,1,1564
9721,1638,2159,1,2934
11097,4981,4439,13,1558
310,10251,5711,1,2482
6082,4420,9634,13,1515
5672,14019,10032,4,2853
9462,7992,846,1,2611
4676,1997,7342,13,1179
4802,336,11968,13,2044
4820,6178,1544,2,1807
4471,3212,11968,13,1647
11173,2028,11921,13,25
5533,1184,4531,1,625
8695,13593,8930,13,1083
1589,2783,10479,9,1914
1872,1653,2368,4,1914
1303,346,11968,13,2231
3926,847,11968,13,1452
1702,8532,5899,13,1933
10921,12132,1542,1,1083
510,4499,5659,1,2535
1517,1995,8539,13,519
3770,4575,904,1,1899
9287,8668,7266,1,1703
2437,12237,7261,4,2661
6274,5441,372,13,216
8093,8792,8327,1,2304
9960,14763,447,13,166
10887,661,11968,13,3075
2401,9059,5667,13,2780
3338,7229,4046,13,253
8699,13595,8930,13,1083
5287,9582,3137,1,1536
7424,5459,190,13,1179
2199,10020,5407,4,2799
11060,12230,11968,13,556
7129,1436,1616,13,2858
10835,9437,11245,1,1703
4247,3626,1600,4,2786
10825,4798,496,4,757
9299,9808,7283,1,1696
7717,1873,246,13,813
3205,7918,9893,1,1485
9900,4310,11968,13,600
2475,6694,3369,1,625
7465,7937,7347,13,174
3606,552,9548,4,2612
3291,5891,11968,13,1864
3205,7918,9893,1,2004
6217,6907,5215,1,1249
3205,7918,9893,1,3065
10535,14681,4833,2,1412
3206,7917,9893,1,2904
7627,12035,6787,1,1412
8063,1387,11968,13,1249
10275,9684,4650,13,2861
4080,7908,9902,1,2666
9075,12326,3707,13,54
1079,7736,8849,1,1536
5999,973,4431,1,1560
8539,13460,11180,1,2865
4080,7908,9901,1,1834
6880,6040,7578,9,520
4080,7908,9901,1,1487
7575,4093,4114,1,1412
5565,10233,6171,4,2535
9890,11810,11968,13,2535
4082,7908,9903,1,3101
3051,12393,11968,9,625
9009,2613,9987,9,1564
8073,14758,11968,13,1327
8494,2493,6273,4,2079
894,6791,11968,13,290
5439,4907,9315,13,1249
10908,14111,9713,9,813
4080,7908,9902,1,2304
4080,7908,9902,1,1383
2606,10407,720,13,1564
2255,6970,11968,4,1794
8636,12744,585,1,1871
10669,7393,1828,1,3105
762,13850,11968,13,1871
10185,5592,4971,4,2734
5999,1339,1563,1,631
9277,1209,345,4,2826
3490,8731,1584,1,954
7914,1176,9588,1,891
8299,14666,7167,1,1495
9580,10973,8019,9,2535
6657,6536,9767,13,776
9183,10516,10661,1,2837
10879,12882,4026,13,1194
9358,11482,2561,13,169
2025,4103,11968,13,2853
802,5175,1884,13,1441
4107,12513,10535,1,243
8388,1881,4274,13,216
2760,13101,11,4,2608
3381,8735,8455,13,1032
8090,9421,449,13,99
3548,5483,3602,13,2535
2391,6315,8382,13,1564
7701,9211,4908,13,1583
4255,12535,7698,1,243
5864,9525,10360,1,2939
6280,1483,11968,13,20
1704,2846,1395,9,625
1813,12618,7794,13,243
10117,3870,11968,13,150
8421,3957,11968,1,625
5253,7325,11968,13,2535
10299,14580,11968,13,525
4123,6108,11968,13,280
3562,10169,6893,1,3005
7184,1584,11916,9,1249
2779,10116,1089,13,1564
10625,14439,11028,1,625
10356,9087,11968,13,2853
2367,9709,11743,9,1383
8135,1045,2140,13,1215
1430,5197,11968,13,2175
9278,10,11968,13,2553
3823,1945,11818,13,772
9129,2615,9986,13,1564
3329,8625,1273,9,296
7694,9090,9564,13,625
895,3081,2377,13,625
3514,9707,5620,9,1383
9917,11912,10123,9,2535
10206,14034,8380,1,916
6795,8,8,13,2553
1278,1826,1688,13,2242
856,2332,7020,6,2398
8609,10426,6648,1,625
9305,9199,10244,4,1248
3770,2022,657,13,837
4448,7978,4769,1,1472
9223,13077,773,1,837
2960,8034,3420,13,1476
1195,11014,10052,1,367
1861,32,23,13,813
5425,13078,6462,7,772
2177,3268,2424,7,2834
8952,12375,8355,13,887
10921,11994,1826,9,625
5591,13551,760,9,2535
5584,760,10890,1,296
7099,2910,6221,1,772
8212,2656,11968,13,2316
8163,13524,6361,13,296
432,6460,1888,7,2168
7475,11553,11841,13,625
6797,9490,3279,1,1249
8548,8746,7475,13,1410
1581,14382,2983,1,1703
1633,12930,8671,13,834
8423,4061,473,1,75
7582,13357,11968,1,1667
9047,12768,11968,13,1855
10437,11296,3541,9,2974
1738,13703,7795,9,2462
9739,206,11968,13,2160
7669,8358,11968,1,2351
4370,12607,1162,1,891
10646,11550,8255,13,625
9581,12088,8613,7,2482
9921,13706,9373,9,2462
7800,2130,11009,9,600
7718,11036,8284,9,2678
6583,11203,4389,4,2834
1851,9863,1351,1,813
1130,1806,3703,9,296
4580,2121,732,1,872
10110,7066,11968,13,1249
5417,4930,11772,13,812
8366,11898,9991,1,2535
4375,14492,8003,1,1412
7659,3802,10936,13,3105
339,3603,8184,13,2537
6778,7250,5882,13,1954
362,13059,9666,1,1592
310,8507,9619,0,3040
6733,7993,3584,1,192
9169,9075,5538,13,2988
9806,4865,8017,1,1472
9495,1175,10884,13,1564
4080,7908,9902,1,1813
10939,12443,4152,4,864
668,11928,10105,13,3007
8365,12057,275,4,2853
11173,12959,1727,1,1051
419,1234,11637,1,625
6894,14518,11968,6,950
9778,4286,5511,13,2913
1883,8511,11030,13,232
8958,13070,8912,13,1564
5206,1570,11968,13,1058
10483,4182,8295,1,3007
9130,5273,4309,9,1472
4107,11605,11968,13,772
3013,4334,11968,1,1627
10908,4155,588,13,771
405,8779,5890,13,2929
2686,11007,2833,1,1087
3205,7918,9893,1,2486
10293,11196,4403,1,1807
4675,5407,2262,1,1249
5181,7638,8571,1,1564
4567,11654,6059,4,1807
7717,13027,11649,1,367
4971,3573,8788,5,772
11000,5522,10997,1,793
11175,3655,11020,13,2482
4339,12157,121,5,216
4651,6088,7353,1,2504
154,9213,4592,13,1564
7220,8146,5060,2,1480
428,12028,10201,9,850
1906,14396,8059,5,290
2572,11486,7901,13,1643
8356,12081,11968,4,643
5523,14381,7499,1,1703
1244,4793,496,4,486
10921,12096,2541,9,813
10412,6793,11968,13,1025
2340,7541,10305,13,252
10722,10600,8615,13,2834
10696,84,10094,9,584
1641,2318,2765,5,1487
7635,13449,4918,13,625
898,14189,10922,13,1564
10480,11849,7175,9,274
6987,7766,241,13,2875
10,3595,11968,1,1248
2407,1156,1246,13,1564
3563,2746,9494,2,119
3049,8739,11968,13,1032
1007,4603,4296,13,2568
7629,7699,6413,1,1560
10349,2709,1218,4,2882
425,6054,10009,13,1000
2680,2162,4565,13,625
2606,7882,1903,1,2051
739,2088,11746,4,1726
4737,2144,10786,13,2535
6827,2010,1719,13,1270
3206,7915,9906,1,1847
381,9412,8121,9,2772
7992,9341,3644,13,1249
10813,10957,1520,10,416
5989,11267,9644,9,2853
2343,7540,10309,13,252
8298,8940,3016,13,2040
10509,12115,11567,1,2482
4290,13896,10474,1,222
8572,9010,5160,1,866
7300,7877,2725,1,2051
1520,14360,4615,7,1383
10349,2709,1218,4,2882
6047,4350,88,13,625
1183,13182,11338,1,60
7535,2521,608,13,2535
4604,7068,11968,13,1092
6595,3403,833,1,776
9495,1164,11968,13,888
2073,6864,8764,13,1176
3566,8134,3791,13,1145
4101,966,6884,7,2482
6113,11606,11968,13,801
1036,13530,7886,5,290
4000,4863,9058,13,55
2926,5066,11968,13,1621
2392,2625,11968,13,98
2149,5526,5754,1,793
4158,12648,2323,13,1209
